"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 19 12:35:40 GMT 2025","Mon May 19 12:35:44 GMT 2025","3769","","ui.WebFormTestForPOM","","ui.WebFormTestForPOM","submitFormTest","submitFormTest()",""
"broken","Mon May 19 12:35:29 GMT 2025","Mon May 19 12:35:30 GMT 2025","221","","ui.HomePageTests","","ui.HomePageTests","openWebFormTest","openWebFormTest()",""
"broken","Mon May 19 12:35:34 GMT 2025","Mon May 19 12:35:37 GMT 2025","2456","","ui.WebFormTestForPOM","","ui.WebFormTestForPOM","proverkaDisabledInput","proverkaDisabledInput()",""
"broken","Mon May 19 12:35:33 GMT 2025","Mon May 19 12:35:33 GMT 2025","221","","ui.WebFormTest","","ui.WebFormTest","openWebFormTest","openWebFormTest()",""
"broken","Mon May 19 12:35:33 GMT 2025","Mon May 19 12:35:33 GMT 2025","222","","ui.WebFormTest","","ui.WebFormTest","proverkaTextArea","proverkaTextArea()",""
"broken","Mon May 19 12:35:18 GMT 2025","Mon May 19 12:35:29 GMT 2025","11252","","ui.HomePageTests","","ui.HomePageTests","clasesTest","clasesTest()",""
"passed","Mon May 19 12:35:30 GMT 2025","Mon May 19 12:35:32 GMT 2025","1661","","ui.HomePageWithPOMTests","","ui.HomePageWithPOMTests","openHomePageTest","openHomePageTest()",""
"passed","Mon May 19 12:35:39 GMT 2025","Mon May 19 12:35:40 GMT 2025","775","","ui.WebFormTestForPOM","","ui.WebFormTestForPOM","openWebFormTest","openWebFormTest()",""
"passed","Mon May 19 12:35:33 GMT 2025","Mon May 19 12:35:34 GMT 2025","870","","ui.WebFormTestForPOM","","ui.WebFormTestForPOM","openWebFormTestWithCheck","openWebFormTestWithCheck()",""
"passed","Mon May 19 12:35:32 GMT 2025","Mon May 19 12:35:32 GMT 2025","896","","ui.NavigationTestForPOM","","ui.NavigationTestForPOM","openNavigationFormTest","openNavigationFormTest()",""
"broken","Mon May 19 12:35:29 GMT 2025","Mon May 19 12:35:29 GMT 2025","306","","ui.HomePageTests","","ui.HomePageTests","openAllLinks","openAllLinks()",""
"broken","Mon May 19 12:35:30 GMT 2025","Mon May 19 12:35:30 GMT 2025","222","","ui.HomePageTests","","ui.HomePageTests","openHomePageTest","openHomePageTest()",""
"broken","Mon May 19 12:35:37 GMT 2025","Mon May 19 12:35:39 GMT 2025","2452","","ui.WebFormTestForPOM","","ui.WebFormTestForPOM","proverkaTextArea","proverkaTextArea()",""
"broken","Mon May 19 12:35:32 GMT 2025","Mon May 19 12:35:33 GMT 2025","219","","ui.WebFormTest","","ui.WebFormTest","proverkaDisabledInput","proverkaDisabledInput()",""
